abstract,abstract_no,drug,condition
"inactivating mutations in the neurofibromatosis 2 (nf2) tumor suppressor gene results in the development of schwannomas and meningiomas. using nf2deficient meningioma cells and tumors, together with the normal cellular counterparts that meningiomas derive, arachnoid cells, we identified merlin as a novel negative regulator of mtor complex 1 (mtorc1). we now show that merlin positively regulates the kinase activity of mtorc2, a second functionally distinct mtor complex, and that downstream phosphorylation of mtorc2 substrates, including akt, is reduced upon acute merlin deficiency in cells. in response to general growth factor stimulation, akt signaling is attenuated in merlin rna interferencesuppressed human arachnoid and schwann cells by mechanisms mediated by hyperactive mtorc1 and impaired mtorc2. moreover, akt signaling is impaired differentially in a cell typedependent manner in response to distinct growth factor stimuli. however, contrary to activation of mtorc1, the attenuated mtorc2 signaling profiles exhibited by normal arachnoid and schwann cells in response to acute merlin loss were not consistently reflected in nf2deficient meningiomas and schwannomas, suggesting additional genetic events may have been acquired in tumors after initial merlin loss. this finding contrasts with another benign tumor disorder, tuberous sclerosis complex, which exhibits attenuated mtorc2 signaling profiles in both cells and tumors. finally, we examined rapamycin, as well as the mtor kinase inhibitor, torin1, targeting both mtor complexes to identify the most efficacious class of compounds for blocking mtormediated signaling and proliferation in merlindeficient meningioma cells. these studies may ultimately aid in the development of suitable therapeutics for nf2associated tumors. ©2012 aacr.",1406,torin1,meningioma
"meningiomas constitute about 34% of primary intracranial tumors and are associated with increased mortality in patients with neurofibromatosis type 2 (nf2). to evaluate potential medical therapies for these tumors, we have established a quantifiable orthotopic model for nf2deficient meningiomas. we showed that telomeraseimmortalized benmen1 benign meningioma cells harbored a single nucleotide deletion in nf2 exon 7 and did not express the nf2 protein, merlin. we also showed that ar42, a panhistone deacetylase inhibitor, inhibited proliferation of both benmen1 and normal meningeal cells by increasing expression of p16ink4a, p21cip1/waf1, and p27kip1. in addition, ar42 increased proapoptotic bim expression and decreased antiapoptotic bclxl levels. however, ar42 predominantly arrested benmen1 cells at g2m whereas it induced cellcycle arrest at g1 in meningeal cells. consistently, ar42 substantially decreased the levels of cyclin d1, e, and a, and proliferating cell nuclear antigen in meningeal cells while significantly reducing the expression of cyclin b, important for progression through g2, in benmen1 cells. in addition, ar42 decreased aurora a and b expression. to compare the in vivo efficacies of ar42 and ar12, a pdk1 inhibitor, we generated and used luciferaseexpressing benmen1lucb cells to establish intracranial xenografts that grew over time. while ar12 treatment moderately slowed tumor growth, ar42 caused regression of benmen1lucb tumors. importantly, ar42treated tumors showed minimal regrowth when xenograftbearing mice were switched to normal diet. together, these results suggest that ar42 is a potential therapy for meningiomas. the differential effect of ar42 on cellcycle progression of normal meningeal and meningioma cells may have implications for why ar42 is welltolerated while it potently inhibits tumor growth. © 2012 aacr.",4003,ar12,meningioma
"purpose: the purpose was to reevaluate in cell culture models the therapeutic usefulness of some discussed chemotherapies or targeted therapies for meningiomas with a special emphasis on the role of the neurofibromatosis type 2 (nf2) tumor suppressor, which had been neglected so far. in addition, the study intended to evaluate a potential benefit from a treatment with drugs which are well established in other fields of medicine and have been linked recently with tumor disease by epidemiological studies. methods: meningioma cell lines corresponding to various subtypes and pairs of syngenic meningioma cell lines with or without shrnainduced nf2 knockdown were analyzed for their dosedependent response to the drugs in microtiter tetrazolium assays, brdu assays and for selected cases in elisas measuring nucleosome liberation to specifically separate cell death from pure inhibition of cell proliferation. results: we confirmed a moderate efficacy of hydroxyurea (hu) in clinically relevant concentrations. under appropriate dosing, we neither detected major responses to the alkylating compound temozolomide nor to various drugs targeting membrane receptors or enzymes (tamoxifen, erlotinib, mifepristone, losartan, metformin and verapamil). only concentrations far beyond achievable serum levels generated significant effects with the exception of losartan, which showed no effects at all. chemosensitivity varied markedly among meningioma cell lines. importantly, cells with nf2 loss exhibited a significantly higher induction of cell death by hu. conclusions: alternative chemotherapeutic or targeted approaches besides hu have still to be evaluated in further studies, and the role of nf2 must be taken into account. © 2014 springerverlag.",542,erlotinib,meningioma
"neurofibromatosis type 2 ( nf2; mim # 101000) is an autosomal dominant disorder characterized by the development of vestibular schwannomas (vss); schwannomas of other cranial, spinal, and cutaneous nerves; cranial and spinal meningiomas or other central nervous system tumors (eg, ependymomas and astrocytomas) or both. additional features include eye (eg, early onset cataracts, optic nerve sheath meningiomas, retinal or pigment epithelial hamartomas or both, and epithelial retinal membranes) and skin abnormalities (eg, flat dermal [nf2 plaques] or spherical subcutaneous nodular schwannomas or both, and few, atypical caféaulait spots). clinically, children with nf2 fall into 2 main groups: (1) congenital nf2 with bilateral vss detected as early as the first days to months of life, which can be stable or asymptomatic for 12 decades and suddenly progress; and (2) severe prepubertal (wishart type) nf2 with multiple (and rapidly progressive) central nervous system tumors otherthanvs, which usually presents first, years before vss, both associated with more marked skin and eye involvement (vs the classical mild adult [gardner type] nf2, with bilateral vss presenting in young adulthood, sometimes as the only disease feature). individuals manifesting unilateral vs associated with ipsilateral meningiomas or multiple schwannomas localized to a part of the peripheral nervous system have mosaic or segmental nf2; individuals developing multiple nonvs, nonintradermal cranial, spinal, and peripheral schwannomas (histologically proven) have schwannomatosis ( swnts). nf2 is caused by mutations in the nf2 gene at chromosome 22q12.1, which encodes for a protein called merlin or schwannomin, most similar to the exrinreadixinmoesin proteins; mosaic or segmental nf2 is because of mosaic phenomena for the nf2 gene, whereas swnts is caused by germline and possibly mosaic mutations either in the smarcb1 gene (. swnts1; mim # 162091) or the lztr1 gene (swnts2; mim # 615670), both falling within the 22q region. data driven from in vitro and animal studies on the merlin pathway allowed biologically targeted treatment strategies (employing lapatinib, erlotinib, everolimus, picropodophyllin, osu.03012, imatinib, sorafenib, and bevacizumab) aimed at multiple tumor shrinkage or regression or both and tumor arrest of progression with functional improvement.",1549,erlotinib,meningioma
"neurofibromatosis 2 (nf2) is a rare tumor suppressor syndrome that manifests with multiple schwannomas and meningiomas. there are no effective drug therapies for these benign tumors and conventional therapies have limited efficacy. various model systems have been created and several drug targets have been implicated in nf2driven tumorigenesis based on known effects of the absence of merlin, the product of the nf2 gene. we tested priority compounds based on known biology with traditional doseconcentration studies in meningioma and schwann cell systems. concurrently, we studied functional kinome and gene expression in these cells pre and posttreatment to determine merlin deficient molecular phenotypes. cell viability results showed that three agents (gsk2126458, panobinostat, cudc907) had the greatest activity across schwannoma and meningioma cell systems, but merlin status did not significantly influence response. in vivo, drug effect was tumor specific with meningioma, but not schwannoma, showing response to gsk2126458 and panobinostat. in culture, changes in both the transcriptome and kinome in response to treatment clustered predominantly based on tumor type. however, there were differences in both gene expression and functional kinome at baseline between meningioma and schwannoma cell systems that may form the basis for future selective therapies. this work has created an openly accessible resource (www.synapse.org/synodosnf2) of fully characterized isogenic schwannoma and meningioma cell systems as well as a rich data source of kinome and transcriptome data from these assay systems before and after treatment that enables single and combination drug discovery based on molecular phenotype.",355,panobinostat,meningioma
"loss of the tumor suppressor merlin is a cause of frequent tumors of the nervous system, such as schwannomas, meningiomas, and ependymomas, which occur spontaneously or as part of neurofibromatosis type 2 (nf2). because there is medical need for drug therapies for these tumors, our aim is to find therapeutic targets. we have studied the pathobiology of schwannomas, because they are the most common merlindeficient tumors and are a model for all merlindeficient tumors. with use of a human schwannoma in vitro model, we previously described strong overexpression/activation of plateletderived growth factor receptorß (pdgfrb) leading to strong, longlasting activation of extracellularsignal regulated kinase (erk1/2) and akt and increased schwannoma growth, which we successfully inhibited using the pdgfr/raf inhibitor sorafenib. however, the benign character of schwannomas may require longterm treatment; thus, drug tolerability is an issue. with the use of western blotting, proliferation assays, viability assays, and a primary human schwannoma cell in vitro model, we tested the pdgfr/ckit inhibitors imatinib (glivec; novartis) and nilotinib (tasigna; novartis). imatinib and nilotinib inhibited pdgfddmediated erk1/2 activation, basal and pdgfddmediated activation of pdgfrß and akt, and schwannoma proliferation. nilotinib is more potent than imatinib, exerting its maximal inhibitory effect at concentrations lower than steadystate trough plasma levels. in addition, nilotinib combined with the mek1/2 inhibitor selumetinib (azd6244) at low concentrations displayed stronger efficiency toward tumor growth inhibition, compared with nilotinib alone. we suggest that therapy with nilotinib or combinational therapy that simultaneously inhibits pdgfr and the downstream raf/mek1/2/erk1/2 pathway could represent an effective treatment for schwannomas and other merlindeficient tumors. © the author(s) 2011.",870,nilotinib,meningioma
"loss of the tumor suppressor merlin is a cause of frequent tumors of the nervous system, such as schwannomas, meningiomas, and ependymomas, which occur spontaneously or as part of neurofibromatosis type 2 (nf2). because there is medical need for drug therapies for these tumors, our aim is to find therapeutic targets. we have studied the pathobiology of schwannomas, because they are the most common merlindeficient tumors and are a model for all merlindeficient tumors. with use of a human schwannoma in vitro model, we previously described strong overexpression/activation of plateletderived growth factor receptorß (pdgfrb) leading to strong, longlasting activation of extracellularsignal regulated kinase (erk1/2) and akt and increased schwannoma growth, which we successfully inhibited using the pdgfr/raf inhibitor sorafenib. however, the benign character of schwannomas may require longterm treatment; thus, drug tolerability is an issue. with the use of western blotting, proliferation assays, viability assays, and a primary human schwannoma cell in vitro model, we tested the pdgfr/ckit inhibitors imatinib (glivec; novartis) and nilotinib (tasigna; novartis). imatinib and nilotinib inhibited pdgfddmediated erk1/2 activation, basal and pdgfddmediated activation of pdgfrß and akt, and schwannoma proliferation. nilotinib is more potent than imatinib, exerting its maximal inhibitory effect at concentrations lower than steadystate trough plasma levels. in addition, nilotinib combined with the mek1/2 inhibitor selumetinib (azd6244) at low concentrations displayed stronger efficiency toward tumor growth inhibition, compared with nilotinib alone. we suggest that therapy with nilotinib or combinational therapy that simultaneously inhibits pdgfr and the downstream raf/mek1/2/erk1/2 pathway could represent an effective treatment for schwannomas and other merlindeficient tumors. © the author(s) 2011.",870,selumetinib,meningioma
"focal seizures are usually manifest with stereotyped positive phenomena. however, seizures may also give negative phenomena, such as paralysis, speech arrest, neglect, atonia and numbness. we report a 39yearold man with neurofibromatosis 2 who had recurrent stereotyped episodes of weakness affecting his right leg and right arm. his mr scan of brain showed numerous meningiomas, the largest of which was near the vertex, adjacent to the left side of the falx. interictal electroencephalogram, mr cerebral angiogram and doppler carotid artery ultrasound scan were normal. he was diagnosed with epilepsy and started on levetiracetam, with no subsequent attacks. we postulate his negative motor seizures related to a meningioma overlying the supplementary negative motor area in the mesial superior frontal gyrus, and discuss diagnostic criteria for inhibitory seizures.",1970,levetiracetam,meningioma
"patients with neurofibromatosis type 1 (nf1) and neurofibromatosis type 2 (nf2) are predisposed to tumors of the nervous system. nf1 patients predominantly develop neurofibromas, and malignant peripheral nerve sheath tumors (mpnst) while nf2 patients develop schwannomas and meningiomas. here we quantified the drug sensitivities of nf1 and nf2 tumor cell lines in a high throughput platform. the platform contained a comprehensive collection of inhibitors of mek, raf, ras, farnesyl transferase, pak and erk, representative drugs against many other cancer pathways including wnt, hedgehog, p53, egf, hdac, as well as classical cytotoxic agents recommended for treating mpnst, such as doxorubicin and etoposide. we profiled seven nf1associated mpnst cell lines (st8814, st883, 908, snf02.2, t265, s462ty, snf96.2), one sporadic mpnst cell line (sts26), one schwannoma from a nf2 patient (hei193), one nf2deficient malignant meningioma (kt21mgluc5d), one mouse nf2 schwannoma (sc4) and one sporadic rat schwannoma (rt467 or rt4). nf1 cells were primarily distinguished from nf2 cells and the sporadic mpnst cell line by their sensitivity to mek and erk inhibitors, and to a smaller extent their sensitivity to bh3 mimetics and farnesyl transferase inhibitors. the platform was highly successful in predicting the effects of clinical trials for neurofibromas.",595,doxorubicin,meningioma
"object. highgrade meningiomas in childhood are rare, and their clinical features are unknown. the objective of this study was to determine the clinical characteristics and prognosis of childhood highgrade meningiomas. methods. twentythree patients with childhood highgrade meningiomas were treated at the huashan hospital. clinical data were collected, tumor samples were reexamined, and prognoses were attained through followup visits and telephone interviews. survival probability was calculated using the kaplanmeier method. a 2sided probability level of 0.05 was chosen for statistical significance. results. the series included 18 males and 5 females (mean age 12.1 years). the most common symptoms were headache and vomiting (43%). three patients had accompanying neurofibromatosis type ii (nf2). the highgrade meningioma cases with nf2 had larger tumor diameters than those without nf2 (p = 0.010). the skull base was the most common tumor site (39%). complete resections were achieved in 11 patients after their initial operations. adjuvant radiation therapy was performed in 9 cases. followup evaluations were performed for 20 patients (mean followup 70 months). ten patients experienced recurrences, 2 patients had lung metastases, and 7 patients died of the recurrence. the extent of surgery was significantly related to progressionfree survival (pfs; p = 0.038). a negative progesterone receptor combined with strongly positive bcl2 immunoreactivity was significantly related to pfs (p = 0.001) and overall survival (p = 0.002). the mib1 labeling index was significantly related to overall survival (p = 0.018), whereas postoperative radiation therapy was not significantly related to pfs (p = 0.087) and overall survival (p = 0.40). conclusions. childhood highgrade meningioma is a rare tumor type. childhood highgrade meningioma has a male predominance and the basilar region is the most common tumor location. patients with these tumors have high recurrence and mortality rates. the extent of resection is an important prognosis factor. a negative progesterone receptor combined with a strongly positive bcl2 immunoreaction might predict cancer recurrence. the mib1 labeling index correlates with the prognosis, and an mib1 labeling index < 3% increases the risk of recurrence in childhood highgrade meningioma. more cases should be collected, and longer followup periods should be obtained, to evaluate the effects of postoperative radiation therapy in childhood highgrade meningioma. © 19442012 american association of neurological surgeons.",821,progesterone,meningioma
