std_name,model_name,median,mean,min,max,disease_name,symptom_name
(-)-Deoxypodophyllotoxin,N10,0.600545988,0.694650543,0.479870283,1.16221895,no disease,no symptom
(-)-Deoxypodophyllotoxin,N5,0.398598814,0.548062709,0.32834243,1.284884067,NF1,no symptom
(-)-Gambogic Acid,N10,0.368344,0.506716128,-0.008533582,1.130643472,no disease,no symptom
(-)-Gambogic Acid,N5,0.41247987,0.453454812,-0.007142507,0.966613756,NF1,no symptom
(-)-NORADRENALINE,Ben-Men-1,0.89365772,0.884852042,0.741394169,1.023628871,NF2,meningioma
(-)-NORADRENALINE,HFF,1.017045662,1.017619449,0.950654115,1.079127802,no disease,no symptom
(-)-NORADRENALINE,HS01,1.010161564,1.019735096,0.964666208,1.110938587,NF2,no symptom
(-)-NORADRENALINE,MS02,0.996566719,0.985900544,0.923954323,1.029672763,NF2,schwannoma
(-)-NORADRENALINE,MTC,1.057234617,1.060969821,0.986881225,1.133740538,no disease,no symptom
(-)-NORADRENALINE,Syn1,1.032546889,1.009276993,0.871458185,1.160795662,no disease,no symptom
(-)-NORADRENALINE,Syn5,0.948508241,0.971661458,0.743182849,1.172962333,NF2,no symptom
(-)-NORADRENALINE,ipNF05.5 (mixed clone),1.00522426,0.978411848,0.670379955,1.086883672,NF1,pNF
(-)-NORADRENALINE,ipNF05.5 (single clone),1.047093407,1.018845924,0.832937408,1.093608551,NF1,pNF
(-)-NORADRENALINE,ipNF06.2A,1.017886495,1.008357959,0.902076859,1.090981669,NF1,pNF
(-)-NORADRENALINE,ipNF95.11b C,1.070511384,1.015885517,0.616536162,1.238869501,NF1,pNF
(-)-NORADRENALINE,ipNF95.11b C/T,1.143305383,1.149447337,1.080362159,1.232156379,NF1,pNF
(-)-NORADRENALINE,ipNF95.6,0.985522955,0.999337575,0.887134408,1.082913707,NF1,pNF
(-)-NORADRENALINE,ipn02.3,1.075531963,1.081704776,1.016999436,1.167534333,no disease,no symptom
(-)-NORADRENALINE,ipn02.8,1.090580217,1.020002177,0.384903041,1.167903074,no disease,no symptom
(-)-NORADRENALINE,ipnNF95.11C,0.991188292,0.979218433,0.935056364,1.016686741,NF1,pNF
(-)-Norbinaltorphimine,Ben-Men-1,0.965344133,0.981009974,0.826302999,1.114543276,NF2,meningioma
(-)-Norbinaltorphimine,HFF,1.063557243,1.061076982,1.013977583,1.104671768,no disease,no symptom
(-)-Norbinaltorphimine,HS01,0.919846926,0.938122075,0.839077428,1.048798683,NF2,no symptom
(-)-Norbinaltorphimine,MS02,0.975269326,0.990231864,0.893590292,1.111463441,NF2,schwannoma
(-)-Norbinaltorphimine,MTC,1.040891037,1.036872444,0.940058779,1.131082778,no disease,no symptom
(-)-Norbinaltorphimine,Syn1,0.998280846,0.970729065,0.814956561,1.080002307,no disease,no symptom
(-)-Norbinaltorphimine,Syn5,0.988556797,1.014440657,0.846014503,1.192652818,NF2,no symptom
(-)-Norbinaltorphimine,ipNF05.5 (mixed clone),0.940525394,0.916635556,0.626548022,1.062830138,NF1,pNF
(-)-Norbinaltorphimine,ipNF05.5 (single clone),0.885063728,0.901029832,0.750709616,1.072953215,NF1,pNF
(-)-Norbinaltorphimine,ipNF06.2A,0.985901335,0.980116848,0.826785898,1.108663692,NF1,pNF
(-)-Norbinaltorphimine,ipNF95.11b C,1.1185611,1.126445016,0.966719538,1.299995205,NF1,pNF
(-)-Norbinaltorphimine,ipNF95.11b C/T,1.028011617,1.053517618,0.970415361,1.140655825,NF1,pNF
(-)-Norbinaltorphimine,ipNF95.6,1.01574497,1.015960873,0.949138784,1.075869789,NF1,pNF
(-)-Norbinaltorphimine,ipn02.3,1.043388176,1.048385406,1.013315792,1.102194045,no disease,no symptom
(-)-Norbinaltorphimine,ipn02.8,1.058536793,1.075920142,0.980522231,1.168581043,no disease,no symptom
(-)-Norbinaltorphimine,ipnNF95.11C,1.0180324,1.014430635,0.984928759,1.056382017,NF1,pNF
(+)-JQ1,Ben-Men-1,0.825307067,0.772487618,0.396526465,1.050703958,NF2,meningioma
(+)-JQ1,HFF,1.021160327,0.988648894,0.800088938,1.126082495,no disease,no symptom
(+)-JQ1,HS01,0.4646805,0.472881393,-0.15510159,2.297165,NF2,no symptom
(+)-JQ1,MS02,0.818558696,0.708702427,0.258726328,0.983047918,NF2,schwannoma
