std_name,symptom_name,median,mean,min,max,disease_name
(-)-Deoxypodophyllotoxin,no symptom,0.517772466,0.621356626,0.32834243,1.284884067,NF2
(-)-Gambogic Acid,no symptom,0.368344,0.48008547,-0.008533582,1.130643472,NF2
(-)-NORADRENALINE,meningioma,0.89365772,0.884852042,0.741394169,1.023628871,NF2
(-)-NORADRENALINE,no symptom,1.038621786,1.019078904,0.384903041,1.172962333,NF2
(-)-NORADRENALINE,pNF,1.017886495,1.021357799,0.616536162,1.238869501,NF1
(-)-NORADRENALINE,schwannoma,0.996566719,0.985900544,0.923954323,1.029672763,NF2
(-)-Norbinaltorphimine,meningioma,0.965344133,0.981009974,0.826302999,1.114543276,NF2
(-)-Norbinaltorphimine,no symptom,1.027003327,1.019998429,0.814956561,1.192652818,NF2
(-)-Norbinaltorphimine,pNF,1.007817532,1.00116234,0.626548022,1.299995205,NF1
(-)-Norbinaltorphimine,schwannoma,0.975269326,0.990231864,0.893590292,1.111463441,NF2
(+)-JQ1,meningioma,0.825307067,0.772487618,0.396526465,1.050703958,NF2
(+)-JQ1,no symptom,0.45305041,0.468521619,-0.15510159,2.297165,NF2
(+)-JQ1,pNF,0.929531563,0.893869606,0.13472226,1.258298377,NF1
(+)-JQ1,schwannoma,0.818558696,0.708702427,0.258726328,0.983047918,NF2
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,meningioma,0.969412843,0.832843457,0.221829103,1.178884216,NF2
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,no symptom,1.001013543,0.789746284,-0.004445405,1.343051852,NF2
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,pNF,1.027562173,0.895698646,0.008625468,1.448594526,NF1
(2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE,schwannoma,0.590404629,0.481875496,0.027120952,0.615093556,NF2
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,meningioma,0.766007545,0.786295753,0.569520727,0.98761783,NF2
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,no symptom,0.94162024,0.898985466,0.353540082,1.079517044,NF2
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,pNF,0.941118857,0.915134431,0.356297778,1.176132244,NF1
(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,schwannoma,0.908629023,0.892945206,0.751003599,0.92747146,NF2
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",meningioma,1.116290092,1.106968076,0.816601453,1.25521601,NF2
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",no symptom,1.069969021,1.041158309,0.049516678,1.308967619,NF2
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",pNF,1.059149318,1.021601774,0.226257398,1.327973199,NF1
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",schwannoma,0.956215072,0.890039482,0.042705057,1.06998925,NF2
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",meningioma,0.981460086,0.970867026,0.841637047,1.120077858,NF2
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",no symptom,1.041499175,0.981352792,0.043100876,1.226686839,NF2
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",pNF,1.020390954,0.860359522,-0.005797569,1.40545067,NF1
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",schwannoma,0.635783808,0.585843699,0.287582596,0.673446177,NF2
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",meningioma,0.989237337,0.942930657,0.582879254,1.075205868,NF2
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",no symptom,1.068254126,1.039357824,0.291342889,1.212927581,NF2
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",pNF,1.070575969,1.07668109,0.774353544,1.415407171,NF1
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",schwannoma,0.600506163,0.581326653,0.415578992,0.632944449,NF2
(R)-Bicalutamide,meningioma,1.126337003,0.981483669,0.08097959,1.19821811,NF2
(R)-Bicalutamide,no symptom,0.988416046,0.96146885,0.187885001,1.300732422,NF2
(R)-Bicalutamide,pNF,1.038289266,0.981193405,0.041123957,1.37605094,NF1
(R)-Bicalutamide,schwannoma,0.958482693,0.895476566,0.275124726,0.989660299,NF2
(R)-Rolipram,meningioma,1.02328528,0.939848193,0.180788702,1.154308379,NF2
(R)-Rolipram,no symptom,1.033368257,0.941499592,0.080674954,1.198016862,NF2
(R)-Rolipram,pNF,1.024877391,1.001902601,0.285574776,1.341281652,NF1
(R)-Rolipram,schwannoma,1.024065086,1.012256515,0.943561588,1.077065484,NF2
(S)-blebbistatin,meningioma,0.956615898,0.965989998,0.868927456,1.08204191,NF2
(S)-blebbistatin,no symptom,1.00117318,1.008935558,0.638275257,1.273120896,NF2
(S)-blebbistatin,pNF,1.15499124,1.201552453,0.326294558,1.7695665,NF1
(S)-blebbistatin,schwannoma,0.839613224,0.805136619,0.499551911,0.888197091,NF2
[11C]SA4503,meningioma,1.024199496,1.010000461,0.844087751,1.119076817,NF2
[11C]SA4503,no symptom,1.043189097,1.03280994,0.762860392,1.216832257,NF2
[11C]SA4503,pNF,0.972223227,0.891656308,0.181093244,1.208994847,NF1
[11C]SA4503,schwannoma,0.913173545,0.911244609,0.835632649,0.959921927,NF2
[3H]GBR12935,meningioma,0.927280376,0.925055274,0.749226119,1.06982816,NF2
[3H]GBR12935,no symptom,0.981572515,0.960459921,0.085884606,1.182188297,NF2
[3H]GBR12935,pNF,1.003773333,0.979193997,0.25728556,1.277482386,NF1
[3H]GBR12935,schwannoma,0.920633857,0.821002432,0.203208975,1.004296724,NF2
1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,meningioma,0.751461708,0.749074505,0.654742592,0.843107639,NF2
1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,no symptom,0.981116785,0.973421861,0.702680126,1.130734037,NF2
1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,pNF,0.956070484,0.93733201,0.387311141,1.184318487,NF1
1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,schwannoma,0.930525682,0.923792273,0.838211294,0.981906234,NF2
1-(3-HYDROXYPROPYL)-2-[(3-NITROBENZOYL)AMINO]-1H-BENZIMIDAZOL-5-YL PIVALATE,meningioma,1.06143344,1.02687259,0.71931935,1.215021014,NF2
1-(3-HYDROXYPROPYL)-2-[(3-NITROBENZOYL)AMINO]-1H-BENZIMIDAZOL-5-YL PIVALATE,no symptom,1.077369726,1.066078806,0.747375168,1.245522359,NF2
1-(3-HYDROXYPROPYL)-2-[(3-NITROBENZOYL)AMINO]-1H-BENZIMIDAZOL-5-YL PIVALATE,pNF,1.062158234,1.005048219,0.147042822,1.331408762,NF1
1-(3-HYDROXYPROPYL)-2-[(3-NITROBENZOYL)AMINO]-1H-BENZIMIDAZOL-5-YL PIVALATE,schwannoma,0.949093155,0.892745671,0.327674711,0.996295634,NF2
"1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide",meningioma,0.973926611,0.96989991,0.801950416,1.076913966,NF2
"1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide",no symptom,1.031254017,1.019753466,0.779766576,1.180553323,NF2
"1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide",pNF,1.080832741,1.027157704,0.138178081,1.453638207,NF1
"1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide",schwannoma,0.544721659,0.55431023,0.530208981,0.59421339,NF2
"1-cyclopentyl-3-(1H-pyrrolo[2,3-b]pyridin-5-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",meningioma,0.654159538,0.587946674,0.046026831,1.067920613,NF2
"1-cyclopentyl-3-(1H-pyrrolo[2,3-b]pyridin-5-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",no symptom,0.749169973,0.686267999,0.043800309,1.169207471,NF2
"1-cyclopentyl-3-(1H-pyrrolo[2,3-b]pyridin-5-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",pNF,0.739804353,0.706788911,0.013034844,1.342478829,NF1
"1-cyclopentyl-3-(1H-pyrrolo[2,3-b]pyridin-5-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",schwannoma,0.426838622,0.38966084,0.039701386,0.619700202,NF2
2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE,meningioma,0.94310787,0.947320937,0.589227127,1.159615144,NF2
2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE,no symptom,0.40367255,0.418334627,-0.22136211,1.9109781,NF2
2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE,pNF,0.989085343,0.904243179,0.025910006,1.539811271,NF1
2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE,schwannoma,0.887697891,0.738234356,0.17793452,0.945594292,NF2
"2-(1,1-DIMETHYLETHYL)9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLIN-7-ONE",meningioma,1.098204227,1.076527392,0.846449478,1.224861807,NF2
